volume,surface_area,triangle_count,bbox_x,bbox_y,bbox_z,max_overhang,overhang_ratio,min_thickness,curvature,file,label
181068.28160984078,116125.380516928,364,254.00001525878906,18.034000396728516,152.40000915527344,180.0,0.9120879120879121,18.034000396728516,0.30909780085604255,rawbridge_1.STL,bridge test
2543480.006599163,271600.70994410093,412,355.6000061035156,43.6879997253418,279.3999938964844,180.0,0.9223300970873787,43.6879997253418,0.303913867680481,rawbridge_10.STL,bridge test
1425710.8517837748,213467.62406962088,392,254.00001525878906,30.987998962402344,304.8000183105469,180.0,0.9183673469387755,30.987998962402344,0.3072302050071729,rawbridge_101.STL,bridge test
348815.71875621926,131917.59197991627,428,254.00001525878906,25.65399932861328,177.8000030517578,180.0,0.9252336448598131,25.65399932861328,0.30235294688522046,rawbridge_103.STL,bridge test
661925.3403585622,199025.48580911802,404,406.3999938964844,28.194000244140625,177.8000030517578,180.0,0.9207920792079208,28.194000244140625,0.3055555555555556,rawbridge_106.STL,bridge test
913559.9086387336,247929.51560022085,416,431.8000183105469,25.65399932861328,228.59999084472656,180.0,0.9230769230769231,25.65399932861328,0.30392987754766604,rawbridge_11.STL,bridge test
1147129.2684318551,193400.6810857423,448,381.0,36.06800079345703,177.8000030517578,180.0,0.9285714285714286,36.06800079345703,0.30249964569161003,rawbridge_112.STL,bridge test
2292913.6736296467,334945.2652591821,424,482.6000061035156,33.27399826049805,279.3999938964844,180.0,0.9245283018867925,33.27399826049805,0.30396097860053,rawbridge_113.STL,bridge test
1170592.0069420934,154189.2384919551,468,304.8000183105469,33.27400207519531,177.8000030517578,180.0,0.9316239316239316,33.27400207519531,0.3011176857330704,rawbridge_116.STL,bridge test
596374.8445734711,231100.23996000557,448,482.6000061035156,18.034000396728516,203.1999969482422,180.0,0.9285714285714286,18.034000396728516,0.30249964569161003,rawbridge_118.STL,bridge test
605091.0474402803,225919.0921688509,440,431.8000183105469,25.65399932861328,203.1999969482422,180.0,0.9272727272727272,25.65399932861328,0.3024426078971533,rawbridge_119.STL,bridge test
755621.2019931423,208443.55290672113,408,381.0,30.733999252319336,203.1999969482422,180.0,0.9215686274509803,30.733999252319336,0.30389753940792,rawbridge_120.STL,bridge test
1908326.9748496236,219200.9972300303,424,381.0,41.14799880981445,203.1999969482422,180.0,0.9245283018867925,41.14799880981445,0.3055555555555556,rawbridge_15.STL,bridge test
590390.9544408413,175772.17672694646,444,431.8000183105469,25.65399932861328,152.40000915527344,180.0,0.9279279279279279,25.65399932861328,0.30247139030922815,rawbridge_16.STL,bridge test
1571105.481774008,222927.76223457974,480,330.1999816894531,40.89400100708008,228.59999084472656,180.0,0.9333333333333333,40.89400100708008,0.30123263888888885,rawbridge_19.STL,bridge test
1486134.563094722,210729.64008745304,476,431.8000183105469,38.354000091552734,177.8000030517578,180.0,0.9327731092436975,38.354000091552734,0.3011949877990412,rawbridge_2.STL,bridge test
889890.8130495687,237634.2299053464,420,457.1999816894531,30.733999252319336,203.1999969482422,180.0,0.9238095238095239,30.733999252319336,0.3039455782312924,rawbridge_21.STL,bridge test
381288.11844471254,146517.94957783047,472,254.00001525878906,20.573999404907227,203.1999969482422,180.0,0.9322033898305084,20.573999404907227,0.30115667592326595,rawbridge_22.STL,bridge test
1397793.753190647,160855.6505386348,400,254.00001525878906,30.733999252319336,228.59999084472656,180.0,0.92,30.733999252319336,0.3055555555555556,rawbridge_23.STL,bridge test
608729.8015825799,177613.87774416019,432,304.8000183105469,15.493999481201172,228.59999084472656,180.0,0.9259259259259259,15.493999481201172,0.3039909122085048,rawbridge_26.STL,bridge test
1331311.450798313,195319.9972432155,444,381.0,38.60799789428711,177.8000030517578,180.0,0.9279279279279279,38.60799789428711,0.30247139030922815,rawbridge_28.STL,bridge test
1255539.3942339506,227363.5031393154,440,431.8000183105469,30.987998962402344,203.1999969482422,180.0,0.9272727272727272,30.987998962402344,0.3024426078971533,rawbridge_29.STL,bridge test
291037.7595935059,201569.87508757482,464,482.6000061035156,18.034000396728516,177.8000030517578,180.0,0.9310344827586207,18.034000396728516,0.302607676047034,rawbridge_30.STL,bridge test
1717670.9387897353,202187.25817575038,464,304.8000183105469,36.06800079345703,228.59999084472656,180.0,0.9310344827586207,36.06800079345703,0.30107799907517496,rawbridge_32.STL,bridge test
2539739.4829119863,266484.90971566364,420,381.0,30.988000869750977,279.3999938964844,180.0,0.9238095238095239,30.988000869750977,0.3055555555555556,rawbridge_33.STL,bridge test
409664.6559849782,197482.55720559956,468,279.3999938964844,18.034000396728516,279.3999938964844,180.0,0.9316239316239316,18.034000396728516,0.3011176857330704,rawbridge_34.STL,bridge test
693557.1260778012,159650.31746436836,416,330.1999816894531,25.90799903869629,177.8000030517578,180.0,0.9230769230769231,25.90799903869629,0.30392987754766604,rawbridge_36.STL,bridge test
207616.4769275865,147929.30819400275,448,355.6000061035156,18.288000106811523,152.40000915527344,180.0,0.9285714285714286,18.288000106811523,0.30091190121882083,rawbridge_38.STL,bridge test
973292.3431640839,215651.6169808957,436,330.1999816894531,20.828001022338867,254.00001525878906,180.0,0.926605504587156,20.828001022338867,0.3024132835806937,rawbridge_39.STL,bridge test
874362.9840069655,140760.47081824832,416,254.00001525878906,30.73400115966797,177.8000030517578,180.0,0.9230769230769231,30.73400115966797,0.30392987754766604,rawbridge_40.STL,bridge test
640707.9602865884,255444.07250234342,452,482.6000061035156,13.208000183105469,228.59999084472656,180.0,0.9292035398230089,13.208000183105469,0.30252738837984355,rawbridge_43.STL,bridge test
1803109.5771874061,205826.22260365947,468,304.8000183105469,45.9739990234375,228.59999084472656,180.0,0.9316239316239316,45.9739990234375,0.30263350135145,rawbridge_44.STL,bridge test
1999145.8093354756,249648.86989466898,420,381.0,43.433998107910156,228.59999084472656,180.0,0.9238095238095239,43.433998107910156,0.3039455782312924,rawbridge_46.STL,bridge test
